Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Goliad County, Texas",7565,29855,29855,3.95,Goliad County,Texas
"Gonzales County, Texas",20731,27407,27407,1.32,Gonzales County,Texas
"Gray County, Texas",22410,24686,24686,1.1,Gray County,Texas
"Grayson County, Texas",131014,28011,28011,0.21,Grayson County,Texas
"Gregg County, Texas",123443,26535,26535,0.21,Gregg County,Texas
"Grimes County, Texas",27984,25638,25638,0.92,Grimes County,Texas
"Guadalupe County, Texas",158966,31842,31842,0.2,Guadalupe County,Texas
"Hale County, Texas",33826,20986,20986,0.62,Hale County,Texas
"Hall County, Texas",3048,21907,21907,7.19,Hall County,Texas
"Hamilton County, Texas",8332,26930,26930,3.23,Hamilton County,Texas
"Hansford County, Texas",5520,20410,20410,3.7,Hansford County,Texas
"Hardeman County, Texas",3945,24078,24078,6.1,Hardeman County,Texas
"Hardin County, Texas",56765,30399,30399,0.54,Hardin County,Texas
"Harris County, Texas",4646630,32765,32765,0.01,Harris County,Texas
"Harrison County, Texas",66580,27086,27086,0.41,Harrison County,Texas
"Hartley County, Texas",5669,20563,20563,3.63,Hartley County,Texas
"Haskell County, Texas",5726,20394,20394,3.56,Haskell County,Texas
"Hays County, Texas",213366,32118,32118,0.15,Hays County,Texas
"Hemphill County, Texas",3994,31530,31530,7.89,Hemphill County,Texas
"Henderson County, Texas",81070,26121,26121,0.32,Henderson County,Texas
"Hidalgo County, Texas",855176,17175,17175,0.02,Hidalgo County,Texas
"Hill County, Texas",35689,26370,26370,0.74,Hill County,Texas
"Hockley County, Texas",23064,23604,23604,1.02,Hockley County,Texas
"Hood County, Texas",58318,35606,35606,0.61,Hood County,Texas
"Hopkins County, Texas",36486,26821,26821,0.74,Hopkins County,Texas
"Houston County, Texas",22954,19129,19129,0.83,Houston County,Texas
"Howard County, Texas",36349,24547,24547,0.68,Howard County,Texas
"Hudspeth County, Texas",4415,14239,14239,3.23,Hudspeth County,Texas
"Hunt County, Texas",94162,25926,25926,0.28,Hunt County,Texas
"Hutchinson County, Texas",21344,24434,24434,1.14,Hutchinson County,Texas
"Irion County, Texas",1620,28487,28487,17.58,Irion County,Texas
"Jack County, Texas",8852,24956,24956,2.82,Jack County,Texas
"Jackson County, Texas",14816,27051,27051,1.83,Jackson County,Texas
"Jasper County, Texas",35506,25269,25269,0.71,Jasper County,Texas
"Jeff Davis County, Texas",2241,26531,26531,11.84,Jeff Davis County,Texas
"Jefferson County, Texas",254340,27094,27094,0.11,Jefferson County,Texas
"Jim Hogg County, Texas",5231,16864,16864,3.22,Jim Hogg County,Texas
"Jim Wells County, Texas",40972,21510,21510,0.52,Jim Wells County,Texas
"Johnson County, Texas",167212,28579,28579,0.17,Johnson County,Texas
"Jones County, Texas",19943,18081,18081,0.91,Jones County,Texas
"Karnes County, Texas",15545,27612,27612,1.78,Karnes County,Texas
"Kaufman County, Texas",123804,28634,28634,0.23,Kaufman County,Texas
"Kendall County, Texas",43769,45866,45866,1.05,Kendall County,Texas
"Kenedy County, Texas",568,15211,15211,26.78,Kenedy County,Texas
"Kent County, Texas",647,30543,30543,47.21,Kent County,Texas
"Kerr County, Texas",51843,32988,32988,0.64,Kerr County,Texas
"Kimble County, Texas",4373,30099,30099,6.88,Kimble County,Texas
"King County, Texas",237,26199,26199,110.54,King County,Texas
"Kinney County, Texas",3659,23934,23934,6.54,Kinney County,Texas
"Kleberg County, Texas",30974,22646,22646,0.73,Kleberg County,Texas
"Knox County, Texas",3705,23146,23146,6.25,Knox County,Texas
"Lamar County, Texas",49611,25038,25038,0.5,Lamar County,Texas
"Lamb County, Texas",13123,22337,22337,1.7,Lamb County,Texas
"Lampasas County, Texas",20862,29412,29412,1.41,Lampasas County,Texas
"La Salle County, Texas",7416,21110,21110,2.85,La Salle County,Texas
"Lavaca County, Texas",20021,32188,32188,1.61,Lavaca County,Texas
"Lee County, Texas",17058,27227,27227,1.6,Lee County,Texas
"Leon County, Texas",17225,30129,30129,1.75,Leon County,Texas
"Liberty County, Texas",83702,23461,23461,0.28,Liberty County,Texas
"Limestone County, Texas",23417,22595,22595,0.96,Limestone County,Texas
"Lipscomb County, Texas",3398,28131,28131,8.28,Lipscomb County,Texas
"Live Oak County, Texas",12139,25370,25370,2.09,Live Oak County,Texas
"Llano County, Texas",21047,37050,37050,1.76,Llano County,Texas
"Loving County, Texas",98,33624,33624,343.1,Loving County,Texas
"Lubbock County, Texas",304808,27922,27922,0.09,Lubbock County,Texas
"Lynn County, Texas",5830,24917,24917,4.27,Lynn County,Texas
"McCulloch County, Texas",8057,24311,24311,3.02,McCulloch County,Texas
"McLennan County, Texas",251089,25703,25703,0.1,McLennan County,Texas
"McMullen County, Texas",774,31455,31455,40.64,McMullen County,Texas
"Madison County, Texas",14197,20748,20748,1.46,Madison County,Texas
"Marion County, Texas",10017,27566,27566,2.75,Marion County,Texas
"Martin County, Texas",5649,30548,30548,5.41,Martin County,Texas
"Mason County, Texas",4186,30388,30388,7.26,Mason County,Texas
"Matagorda County, Texas",36774,25172,25172,0.68,Matagorda County,Texas
"Maverick County, Texas",58174,16779,16779,0.29,Maverick County,Texas
"Medina County, Texas",50057,27475,27475,0.55,Medina County,Texas
"Menard County, Texas",2119,25742,25742,12.15,Menard County,Texas
"Midland County, Texas",168167,39248,39248,0.23,Midland County,Texas
"Milam County, Texas",24770,25714,25714,1.04,Milam County,Texas
"Mills County, Texas",4889,27374,27374,5.6,Mills County,Texas
"Mitchell County, Texas",8523,21136,21136,2.48,Mitchell County,Texas
"Montague County, Texas",19489,28096,28096,1.44,Montague County,Texas
"Montgomery County, Texas",571949,41211,41211,0.07,Montgomery County,Texas
"Moore County, Texas",21399,23001,23001,1.07,Moore County,Texas
"Morris County, Texas",12373,22971,22971,1.86,Morris County,Texas
"Motley County, Texas",1252,29071,29071,23.22,Motley County,Texas
"Nacogdoches County, Texas",65339,23617,23617,0.36,Nacogdoches County,Texas
"Navarro County, Texas",48995,23786,23786,0.49,Navarro County,Texas
"Newton County, Texas",13914,21659,21659,1.56,Newton County,Texas
"Nolan County, Texas",14904,25094,25094,1.68,Nolan County,Texas
"Nueces County, Texas",361540,27740,27740,0.08,Nueces County,Texas
"Ochiltree County, Texas",10131,23624,23624,2.33,Ochiltree County,Texas
"Oldham County, Texas",2094,26408,26408,12.61,Oldham County,Texas
"Orange County, Texas",84069,30114,30114,0.36,Orange County,Texas
"Palo Pinto County, Texas",28540,25150,25150,0.88,Palo Pinto County,Texas
"Panola County, Texas",23327,26577,26577,1.14,Panola County,Texas
"Parker County, Texas",133811,35142,35142,0.26,Parker County,Texas
"Parmer County, Texas",9718,23859,23859,2.46,Parmer County,Texas
"Pecos County, Texas",15815,21120,21120,1.34,Pecos County,Texas
"Polk County, Texas",48913,25164,25164,0.51,Polk County,Texas
"Potter County, Texas",119674,22568,22568,0.19,Potter County,Texas
"Presidio County, Texas",6975,15337,15337,2.2,Presidio County,Texas
"Rains County, Texas",11766,27938,27938,2.37,Rains County,Texas
"Randall County, Texas",134026,34293,34293,0.26,Randall County,Texas
"Reagan County, Texas",3766,25600,25600,6.8,Reagan County,Texas
"Real County, Texas",3408,18235,18235,5.35,Real County,Texas
"Red River County, Texas",12171,22689,22689,1.86,Red River County,Texas
"Reeves County, Texas",15492,20020,20020,1.29,Reeves County,Texas
"Refugio County, Texas",7145,24248,24248,3.39,Refugio County,Texas
"Roberts County, Texas",805,30955,30955,38.45,Roberts County,Texas
"Robertson County, Texas",16990,26033,26033,1.53,Robertson County,Texas
"Rockwall County, Texas",97175,42346,42346,0.44,Rockwall County,Texas
"Runnels County, Texas",10277,24402,24402,2.37,Runnels County,Texas
"Rusk County, Texas",53755,26658,26658,0.5,Rusk County,Texas
"Sabine County, Texas",10471,24870,24870,2.38,Sabine County,Texas
"San Augustine County, Texas",8286,23683,23683,2.86,San Augustine County,Texas
"San Jacinto County, Texas",28180,23312,23312,0.83,San Jacinto County,Texas
"San Patricio County, Texas",67008,26054,26054,0.39,San Patricio County,Texas
"San Saba County, Texas",5991,24961,24961,4.17,San Saba County,Texas
"Schleicher County, Texas",2983,26560,26560,8.9,Schleicher County,Texas
"Scurry County, Texas",17096,24552,24552,1.44,Scurry County,Texas
"Shackelford County, Texas",3296,24852,24852,7.54,Shackelford County,Texas
"Shelby County, Texas",25349,21950,21950,0.87,Shelby County,Texas
"Sherman County, Texas",3059,30467,30467,9.96,Sherman County,Texas
"Smith County, Texas",227449,28483,28483,0.13,Smith County,Texas
"Somervell County, Texas",8860,29449,29449,3.32,Somervell County,Texas
"Starr County, Texas",64078,14179,14179,0.22,Starr County,Texas
"Stephens County, Texas",9364,25015,25015,2.67,Stephens County,Texas
"Sterling County, Texas",1231,28757,28757,23.36,Sterling County,Texas
"Stonewall County, Texas",1476,25638,25638,17.37,Stonewall County,Texas
"Sutton County, Texas",3824,26904,26904,7.04,Sutton County,Texas
"Swisher County, Texas",7432,19697,19697,2.65,Swisher County,Texas
"Tarrant County, Texas",2049770,33292,33292,0.02,Tarrant County,Texas
"Taylor County, Texas",136870,27162,27162,0.2,Taylor County,Texas
"Terrell County, Texas",896,25687,25687,28.67,Terrell County,Texas
"Terry County, Texas",12528,20627,20627,1.65,Terry County,Texas
"Throckmorton County, Texas",1436,30463,30463,21.21,Throckmorton County,Texas
"Titus County, Texas",32640,21730,21730,0.67,Titus County,Texas
"Tom Green County, Texas",117986,29505,29505,0.25,Tom Green County,Texas
"Travis County, Texas",1226805,43658,43658,0.04,Travis County,Texas
"Trinity County, Texas",14620,25026,25026,1.71,Trinity County,Texas
"Tyler County, Texas",21518,20249,20249,0.94,Tyler County,Texas
"Upshur County, Texas",41018,25285,25285,0.62,Upshur County,Texas
"Upton County, Texas",3659,25447,25447,6.95,Upton County,Texas
"Uvalde County, Texas",26920,20329,20329,0.76,Uvalde County,Texas
"Val Verde County, Texas",48969,21370,21370,0.44,Val Verde County,Texas
"Van Zandt County, Texas",55103,27900,27900,0.51,Van Zandt County,Texas
"Victoria County, Texas",92109,29199,29199,0.32,Victoria County,Texas
"Walker County, Texas",72321,18544,18544,0.26,Walker County,Texas
"Waller County, Texas",51832,25401,25401,0.49,Waller County,Texas
"Ward County, Texas",11658,25931,25931,2.22,Ward County,Texas
"Washington County, Texas",35163,32625,32625,0.93,Washington County,Texas
"Webb County, Texas",273526,18466,18466,0.07,Webb County,Texas
"Wharton County, Texas",41577,25298,25298,0.61,Wharton County,Texas
"Wheeler County, Texas",5338,27093,27093,5.08,Wheeler County,Texas
"Wichita County, Texas",131596,24872,24872,0.19,Wichita County,Texas
"Wilbarger County, Texas",12833,23696,23696,1.85,Wilbarger County,Texas
"Willacy County, Texas",21588,14888,14888,0.69,Willacy County,Texas
"Williamson County, Texas",547604,37242,37242,0.07,Williamson County,Texas
"Wilson County, Texas",49173,32312,32312,0.66,Wilson County,Texas
"Winkler County, Texas",7867,24467,24467,3.11,Winkler County,Texas
"Wise County, Texas",66290,29418,29418,0.44,Wise County,Texas
"Wood County, Texas",44366,29005,29005,0.65,Wood County,Texas
"Yoakum County, Texas",8631,24582,24582,2.85,Yoakum County,Texas
"Young County, Texas",18036,27423,27423,1.52,Young County,Texas
"Zapata County, Texas",14304,20169,20169,1.41,Zapata County,Texas
"Zavala County, Texas",12039,13835,13835,1.15,Zavala County,Texas
"Beaver County, Utah",6517,23382,23382,3.59,Beaver County,Utah
"Box Elder County, Utah",53946,24797,24797,0.46,Box Elder County,Utah
"Cache County, Utah",124165,23713,23713,0.19,Cache County,Utah
"Carbon County, Utah",20308,23862,23862,1.18,Carbon County,Utah
"Daggett County, Utah",613,29574,29574,48.24,Daggett County,Utah
"Davis County, Utah",345767,31205,31205,0.09,Davis County,Utah
"Duchesne County, Utah",20148,24573,24573,1.22,Duchesne County,Utah
"Emery County, Utah",10117,23705,23705,2.34,Emery County,Utah
"Garfield County, Utah",4998,25247,25247,5.05,Garfield County,Utah
"Grand County, Utah",9640,27431,27431,2.85,Grand County,Utah
"Iron County, Utah",51213,22909,22909,0.45,Iron County,Utah
"Juab County, Utah",11301,22830,22830,2.02,Juab County,Utah
"Kane County, Utah",7484,26070,26070,3.48,Kane County,Utah
"Millard County, Utah",12854,25225,25225,1.96,Millard County,Utah
"Morgan County, Utah",11664,31732,31732,2.72,Morgan County,Utah
"Piute County, Utah",1866,19012,19012,10.19,Piute County,Utah
"Rich County, Utah",2389,23464,23464,9.82,Rich County,Utah
"Salt Lake County, Utah",1133646,33238,33238,0.03,Salt Lake County,Utah
"San Juan County, Utah",15302,18987,18987,1.24,San Juan County,Utah
"Sanpete County, Utah",29850,20056,20056,0.67,Sanpete County,Utah
"Sevier County, Utah",21280,23514,23514,1.1,Sevier County,Utah
"Summit County, Utah",41103,56575,56575,1.38,Summit County,Utah
"Tooele County, Utah",67397,25949,25949,0.39,Tooele County,Utah
"Uintah County, Utah",36084,25759,25759,0.71,Uintah County,Utah
"Utah County, Utah",605490,26215,26215,0.04,Utah County,Utah
"Wasatch County, Utah",31708,35641,35641,1.12,Wasatch County,Utah
"Washington County, Utah",165811,29010,29010,0.17,Washington County,Utah
"Wayne County, Utah",2689,22038,22038,8.2,Wayne County,Utah
"Weber County, Utah",251498,27828,27828,0.11,Weber County,Utah
"Addison County, Vermont",36882,34741,34741,0.94,Addison County,Vermont
"Bennington County, Vermont",35746,33789,33789,0.95,Bennington County,Vermont
"Caledonia County, Vermont",30234,29769,29769,0.98,Caledonia County,Vermont
"Chittenden County, Vermont",162646,39062,39062,0.24,Chittenden County,Vermont
"Essex County, Vermont",6200,25376,25376,4.09,Essex County,Vermont
"Franklin County, Vermont",49116,31195,31195,0.64,Franklin County,Vermont
"Grand Isle County, Vermont",7022,39770,39770,5.66,Grand Isle County,Vermont
"Lamoille County, Vermont",25318,36747,36747,1.45,Lamoille County,Vermont
"Orange County, Vermont",28908,31697,31697,1.1,Orange County,Vermont
"Orleans County, Vermont",26901,27023,27023,1.0,Orleans County,Vermont
"Rutland County, Vermont",58892,31391,31391,0.53,Rutland County,Vermont
"Washington County, Vermont",58350,35236,35236,0.6,Washington County,Vermont
"Windham County, Vermont",42823,32535,32535,0.76,Windham County,Vermont
"Windsor County, Vermont",55275,36252,36252,0.66,Windsor County,Vermont
"Accomack County, Virginia",32673,26018,26018,0.8,Accomack County,Virginia
"Albemarle County, Virginia",107405,44799,44799,0.42,Albemarle County,Virginia
"Alleghany County, Virginia",15157,27338,27338,1.8,Alleghany County,Virginia
"Amelia County, Virginia",12953,31688,31688,2.45,Amelia County,Virginia
"Amherst County, Virginia",31775,26712,26712,0.84,Amherst County,Virginia
"Appomattox County, Virginia",15707,28586,28586,1.82,Appomattox County,Virginia
"Arlington County, Virginia",233464,71841,71841,0.31,Arlington County,Virginia
"Augusta County, Virginia",75079,30272,30272,0.4,Augusta County,Virginia
"Bath County, Virginia",4307,27527,27527,6.39,Bath County,Virginia
"Bedford County, Virginia",78376,33678,33678,0.43,Bedford County,Virginia
"Bland County, Virginia",6388,22522,22522,3.53,Bland County,Virginia
"Botetourt County, Virginia",33343,35893,35893,1.08,Botetourt County,Virginia
"Brunswick County, Virginia",16520,21732,21732,1.32,Brunswick County,Virginia
"Buchanan County, Virginia",21788,19496,19496,0.89,Buchanan County,Virginia
"Buckingham County, Virginia",17059,20605,20605,1.21,Buckingham County,Virginia
"Campbell County, Virginia",55225,27739,27739,0.5,Campbell County,Virginia
"Caroline County, Virginia",30381,31568,31568,1.04,Caroline County,Virginia
"Carroll County, Virginia",29801,25449,25449,0.85,Carroll County,Virginia
"Charles City County, Virginia",7014,35304,35304,5.03,Charles City County,Virginia
"Charlotte County, Virginia",12040,22018,22018,1.83,Charlotte County,Virginia
"Chesterfield County, Virginia",343551,37658,37658,0.11,Chesterfield County,Virginia
"Clarke County, Virginia",14423,41332,41332,2.87,Clarke County,Virginia
"Craig County, Virginia",5110,30103,30103,5.89,Craig County,Virginia
"Culpeper County, Virginia",51101,32028,32028,0.63,Culpeper County,Virginia
"Cumberland County, Virginia",9824,25138,25138,2.56,Cumberland County,Virginia
"Dickenson County, Virginia",14756,24978,24978,1.69,Dickenson County,Virginia
"Dinwiddie County, Virginia",28485,28922,28922,1.02,Dinwiddie County,Virginia
"Essex County, Virginia",10998,26847,26847,2.44,Essex County,Virginia
"Fairfax County, Virginia",1145862,56231,56231,0.05,Fairfax County,Virginia
"Fauquier County, Virginia",69728,45408,45408,0.65,Fauquier County,Virginia
"Floyd County, Virginia",15704,26882,26882,1.71,Floyd County,Virginia
"Fluvanna County, Virginia",26594,39633,39633,1.49,Fluvanna County,Virginia
"Franklin County, Virginia",56187,30487,30487,0.54,Franklin County,Virginia
"Frederick County, Virginia",86415,35123,35123,0.41,Frederick County,Virginia
"Giles County, Virginia",16772,27137,27137,1.62,Giles County,Virginia
"Gloucester County, Virginia",37222,33692,33692,0.91,Gloucester County,Virginia
"Goochland County, Virginia",22865,51720,51720,2.26,Goochland County,Virginia
"Grayson County, Virginia",15742,21663,21663,1.38,Grayson County,Virginia
"Greene County, Virginia",19519,32508,32508,1.67,Greene County,Virginia
"Greensville County, Virginia",11525,19550,19550,1.7,Greensville County,Virginia
"Halifax County, Virginia",34552,23909,23909,0.69,Halifax County,Virginia
"Hanover County, Virginia",105537,41200,41200,0.39,Hanover County,Virginia
"Henrico County, Virginia",327535,39516,39516,0.12,Henrico County,Virginia
"Henry County, Virginia",51308,22372,22372,0.44,Henry County,Virginia
"Highland County, Virginia",2204,31485,31485,14.29,Highland County,Virginia
"Isle of Wight County, Virginia",36627,37126,37126,1.01,Isle of Wight County,Virginia
"James City County, Virginia",74916,44495,44495,0.59,James City County,Virginia
"King and Queen County, Virginia",7042,31174,31174,4.43,King and Queen County,Virginia
"King George County, Virginia",26229,38739,38739,1.48,King George County,Virginia
"King William County, Virginia",16688,30704,30704,1.84,King William County,Virginia
"Lancaster County, Virginia",10724,40062,40062,3.74,Lancaster County,Virginia
"Lee County, Virginia",23948,19720,19720,0.82,Lee County,Virginia
"Loudoun County, Virginia",395134,55744,55744,0.14,Loudoun County,Virginia
"Louisa County, Virginia",36040,34041,34041,0.94,Louisa County,Virginia
"Lunenburg County, Virginia",12282,19848,19848,1.62,Lunenburg County,Virginia
"Madison County, Virginia",13170,30777,30777,2.34,Madison County,Virginia
"Mathews County, Virginia",8788,35731,35731,4.07,Mathews County,Virginia
"Mecklenburg County, Virginia",30728,25056,25056,0.82,Mecklenburg County,Virginia
"Middlesex County, Virginia",10675,31502,31502,2.95,Middlesex County,Virginia
"Montgomery County, Virginia",98140,30054,30054,0.31,Montgomery County,Virginia
"Nelson County, Virginia",14831,35489,35489,2.39,Nelson County,Virginia
"New Kent County, Virginia",21686,38080,38080,1.76,New Kent County,Virginia
"Northampton County, Virginia",11885,28518,28518,2.4,Northampton County,Virginia
"Northumberland County, Virginia",12190,36261,36261,2.97,Northumberland County,Virginia
"Nottoway County, Virginia",15433,24571,24571,1.59,Nottoway County,Virginia
"Orange County, Virginia",36010,32292,32292,0.9,Orange County,Virginia
"Page County, Virginia",23788,25170,25170,1.06,Page County,Virginia
"Patrick County, Virginia",17748,24292,24292,1.37,Patrick County,Virginia
"Pittsylvania County, Virginia",61256,26032,26032,0.42,Pittsylvania County,Virginia
"Powhatan County, Virginia",28815,37424,37424,1.3,Powhatan County,Virginia
"Prince Edward County, Virginia",22905,21017,21017,0.92,Prince Edward County,Virginia
"Prince George County, Virginia",38114,29420,29420,0.77,Prince George County,Virginia
"Prince William County, Virginia",461423,40932,40932,0.09,Prince William County,Virginia
"Pulaski County, Virginia",34182,28125,28125,0.82,Pulaski County,Virginia
"Rappahannock County, Virginia",7378,41792,41792,5.66,Rappahannock County,Virginia
"Richmond County, Virginia",8884,22853,22853,2.57,Richmond County,Virginia
"Roanoke County, Virginia",93823,36469,36469,0.39,Roanoke County,Virginia
"Rockbridge County, Virginia",22570,31539,31539,1.4,Rockbridge County,Virginia
"Rockingham County, Virginia",80284,31275,31275,0.39,Rockingham County,Virginia
"Russell County, Virginia",27141,21605,21605,0.8,Russell County,Virginia
"Scott County, Virginia",21902,22898,22898,1.05,Scott County,Virginia
"Shenandoah County, Virginia",43224,28882,28882,0.67,Shenandoah County,Virginia
"Smyth County, Virginia",30767,21605,21605,0.7,Smyth County,Virginia
"Southampton County, Virginia",17880,26600,26600,1.49,Southampton County,Virginia
"Spotsylvania County, Virginia",132833,37212,37212,0.28,Spotsylvania County,Virginia
"Stafford County, Virginia",146773,42126,42126,0.29,Stafford County,Virginia
"Surry County, Virginia",6523,30260,30260,4.64,Surry County,Virginia
"Sussex County, Virginia",11377,21652,21652,1.9,Sussex County,Virginia
"Tazewell County, Virginia",41603,23738,23738,0.57,Tazewell County,Virginia
"Warren County, Virginia",39492,32086,32086,0.81,Warren County,Virginia
"Washington County, Virginia",54071,27524,27524,0.51,Washington County,Virginia
"Westmoreland County, Virginia",17751,32996,32996,1.86,Westmoreland County,Virginia
"Wise County, Virginia",38486,21500,21500,0.56,Wise County,Virginia
"Wythe County, Virginia",28844,27381,27381,0.95,Wythe County,Virginia
"York County, Virginia",67982,41201,41201,0.61,York County,Virginia
"Alexandria city, Virginia",157613,62679,62679,0.4,Alexandria city,Virginia
"Bristol city, Virginia",16912,23015,23015,1.36,Bristol city,Virginia
"Buena Vista city, Virginia",6484,21419,21419,3.3,Buena Vista city,Virginia
"Charlottesville city, Virginia",47096,38328,38328,0.81,Charlottesville city,Virginia
"Chesapeake city, Virginia",239982,35536,35536,0.15,Chesapeake city,Virginia
"Colonial Heights city, Virginia",17428,28364,28364,1.63,Colonial Heights city,Virginia
"Covington city, Virginia",5598,25309,25309,4.52,Covington city,Virginia
"Danville city, Virginia",41070,22826,22826,0.56,Danville city,Virginia
"Emporia city, Virginia",5442,18494,18494,3.4,Emporia city,Virginia
"Fairfax city, Virginia",23531,50029,50029,2.13,Fairfax city,Virginia
"Falls Church city, Virginia",14128,72325,72325,5.12,Falls Church city,Virginia
"Franklin city, Virginia",8147,24025,24025,2.95,Franklin city,Virginia
"Fredericksburg city, Virginia",28622,35731,35731,1.25,Fredericksburg city,Virginia
"Galax city, Virginia",6517,23025,23025,3.53,Galax city,Virginia
"Hampton city, Virginia",135041,30135,30135,0.22,Hampton city,Virginia
"Harrisonburg city, Virginia",53273,23202,23202,0.44,Harrisonburg city,Virginia
"Hopewell city, Virginia",22456,21927,21927,0.98,Hopewell city,Virginia
"Lexington city, Virginia",7241,19047,19047,2.63,Lexington city,Virginia
"Lynchburg city, Virginia",80569,23863,23863,0.3,Lynchburg city,Virginia
"Manassas city, Virginia",41174,33082,33082,0.8,Manassas city,Virginia
"Manassas Park city, Virginia",16986,34326,34326,2.02,Manassas Park city,Virginia
"Martinsville city, Virginia",12852,22836,22836,1.78,Martinsville city,Virginia
"Newport News city, Virginia",179673,28294,28294,0.16,Newport News city,Virginia
"Norfolk city, Virginia",244601,29830,29830,0.12,Norfolk city,Virginia
"Norton city, Virginia",3970,21741,21741,5.48,Norton city,Virginia
"Petersburg city, Virginia",31362,23611,23611,0.75,Petersburg city,Virginia
"Poquoson city, Virginia",12090,40258,40258,3.33,Poquoson city,Virginia
"Portsmouth city, Virginia",95097,26312,26312,0.28,Portsmouth city,Virginia
"Radford city, Virginia",17691,21797,21797,1.23,Radford city,Virginia
"Richmond city, Virginia",226622,33549,33549,0.15,Richmond city,Virginia
"Roanoke city, Virginia",99229,27006,27006,0.27,Roanoke city,Virginia
"Salem city, Virginia",25317,31924,31924,1.26,Salem city,Virginia
"Staunton city, Virginia",24432,30166,30166,1.23,Staunton city,Virginia
"Suffolk city, Virginia",90093,34940,34940,0.39,Suffolk city,Virginia
"Virginia Beach city, Virginia",450201,37776,37776,0.08,Virginia Beach city,Virginia
"Waynesboro city, Virginia",22140,27033,27033,1.22,Waynesboro city,Virginia
"Williamsburg city, Virginia",14927,29758,29758,1.99,Williamsburg city,Virginia
"Winchester city, Virginia",27897,30859,30859,1.11,Winchester city,Virginia
"Adams County, Washington",19594,20248,20248,1.03,Adams County,Washington
"Asotin County, Washington",22421,29695,29695,1.32,Asotin County,Washington
"Benton County, Washington",197518,32882,32882,0.17,Benton County,Washington
"Chelan County, Washington",76229,30870,30870,0.4,Chelan County,Washington
"Clallam County, Washington",75392,30283,30283,0.4,Clallam County,Washington
"Clark County, Washington",473252,35860,35860,0.08,Clark County,Washington
"Columbia County, Washington",3992,36551,36551,9.16,Columbia County,Washington
"Cowlitz County, Washington",106778,28876,28876,0.27,Cowlitz County,Washington
"Douglas County, Washington",42023,30544,30544,0.73,Douglas County,Washington
"Ferry County, Washington",7578,25857,25857,3.41,Ferry County,Washington
"Franklin County, Washington",92009,24380,24380,0.26,Franklin County,Washington
"Garfield County, Washington",2230,26742,26742,11.99,Garfield County,Washington
"Grant County, Washington",95502,24280,24280,0.25,Grant County,Washington
"Grays Harbor County, Washington",72779,27210,27210,0.37,Grays Harbor County,Washington
"Island County, Washington",82866,37087,37087,0.45,Island County,Washington
"Jefferson County, Washington",31285,36598,36598,1.17,Jefferson County,Washington
"King County, Washington",2195502,52462,52462,0.02,King County,Washington
"Kitsap County, Washington",265882,37493,37493,0.14,Kitsap County,Washington
"Kittitas County, Washington",45897,29161,29161,0.64,Kittitas County,Washington
"Klickitat County, Washington",21721,29521,29521,1.36,Klickitat County,Washington
"Lewis County, Washington",78145,27127,27127,0.35,Lewis County,Washington
"Lincoln County, Washington",10574,28891,28891,2.73,Lincoln County,Washington
"Mason County, Washington",63804,28862,28862,0.45,Mason County,Washington
"Okanogan County, Washington",41842,24876,24876,0.59,Okanogan County,Washington
"Pacific County, Washington",21688,26109,26109,1.2,Pacific County,Washington
"Pend Oreille County, Washington",13377,28046,28046,2.1,Pend Oreille County,Washington
"Pierce County, Washington",877013,34618,34618,0.04,Pierce County,Washington
"San Juan County, Washington",16788,45777,45777,2.73,San Juan County,Washington
"Skagit County, Washington",125612,33168,33168,0.26,Skagit County,Washington
"Skamania County, Washington",11753,32221,32221,2.74,Skamania County,Washington
"Snohomish County, Washington",798808,39527,39527,0.05,Snohomish County,Washington
"Spokane County, Washington",505505,31146,31146,0.06,Spokane County,Washington
"Stevens County, Washington",44655,26896,26896,0.6,Stevens County,Washington
"Thurston County, Washington",279711,35169,35169,0.13,Thurston County,Washington
"Wahkiakum County, Washington",4268,31110,31110,7.29,Wahkiakum County,Washington
"Walla Walla County, Washington",60365,29035,29035,0.48,Walla Walla County,Washington
"Whatcom County, Washington",220821,32267,32267,0.15,Whatcom County,Washington
"Whitman County, Washington",49231,23560,23560,0.48,Whitman County,Washington
"Yakima County, Washington",249697,23459,23459,0.09,Yakima County,Washington
"Barbour County, West Virginia",16633,22899,22899,1.38,Barbour County,West Virginia
"Berkeley County, West Virginia",115329,29994,29994,0.26,Berkeley County,West Virginia
"Boone County, West Virginia",22368,21751,21751,0.97,Boone County,West Virginia
"Braxton County, West Virginia",14190,22269,22269,1.57,Braxton County,West Virginia
"Brooke County, West Virginia",22459,26678,26678,1.19,Brooke County,West Virginia
"Cabell County, West Virginia",94339,25271,25271,0.27,Cabell County,West Virginia
"Calhoun County, West Virginia",7295,20447,20447,2.8,Calhoun County,West Virginia
"Clay County, West Virginia",8709,17239,17239,1.98,Clay County,West Virginia
"Doddridge County, West Virginia",8560,24053,24053,2.81,Doddridge County,West Virginia
"Fayette County, West Virginia",43576,21914,21914,0.5,Fayette County,West Virginia
"Gilmer County, West Virginia",8041,18067,18067,2.25,Gilmer County,West Virginia
"Grant County, West Virginia",11616,23351,23351,2.01,Grant County,West Virginia
"Greenbrier County, West Virginia",35155,24581,24581,0.7,Greenbrier County,West Virginia
"Hampshire County, West Virginia",23309,24259,24259,1.04,Hampshire County,West Virginia
