Place,Population,Per Capita Income,Poverty Count,Poverty Rate,County,State
"Hoonah-Angoon Census Area, Alaska",2139,36091,36091,16.87,Hoonah-Angoon Census Area,Alaska
"Juneau City and Borough, Alaska",32227,43680,43680,1.36,Juneau City and Borough,Alaska
"Kenai Peninsula Borough, Alaska",58464,34226,34226,0.59,Kenai Peninsula Borough,Alaska
"Ketchikan Gateway Borough, Alaska",13800,37590,37590,2.72,Ketchikan Gateway Borough,Alaska
"Kodiak Island Borough, Alaska",13451,32876,32876,2.44,Kodiak Island Borough,Alaska
"Kusilvak Census Area, Alaska",8250,13762,13762,1.67,Kusilvak Census Area,Alaska
"Lake and Peninsula Borough, Alaska",1393,24836,24836,17.83,Lake and Peninsula Borough,Alaska
"Matanuska-Susitna Borough, Alaska",105369,31232,31232,0.3,Matanuska-Susitna Borough,Alaska
"Nome Census Area, Alaska",9988,23581,23581,2.36,Nome Census Area,Alaska
"North Slope Borough, Alaska",9792,48730,48730,4.98,North Slope Borough,Alaska
"Northwest Arctic Borough, Alaska",7715,23780,23780,3.08,Northwest Arctic Borough,Alaska
"Petersburg Borough, Alaska",3257,36112,36112,11.09,Petersburg Borough,Alaska
"Prince of Wales-Hyder Census Area, Alaska",6407,27080,27080,4.23,Prince of Wales-Hyder Census Area,Alaska
"Sitka City and Borough, Alaska",8640,39615,39615,4.59,Sitka City and Borough,Alaska
"Skagway Municipality, Alaska",1107,39453,39453,35.64,Skagway Municipality,Alaska
"Southeast Fairbanks Census Area, Alaska",6878,32193,32193,4.68,Southeast Fairbanks Census Area,Alaska
"Valdez-Cordova Census Area, Alaska",9243,38907,38907,4.21,Valdez-Cordova Census Area,Alaska
"Wrangell City and Borough, Alaska",2502,32286,32286,12.9,Wrangell City and Borough,Alaska
"Yakutat City and Borough, Alaska",649,32198,32198,49.61,Yakutat City and Borough,Alaska
"Yukon-Koyukuk Census Area, Alaska",5377,22718,22718,4.23,Yukon-Koyukuk Census Area,Alaska
